Wavelength(nm)	n	k
2420	1.72575	7.05e-08
2430	1.72551	7.20e-08
2440	1.72528	7.35e-08
2450	1.72504	7.50e-08
2460	1.72480	7.66e-08
2470	1.72456	7.81e-08
2480	1.72432	7.98e-08
2490	1.72408	8.14e-08
2500	1.72384	8.31e-08
2510	1.72359	8.48e-08
2520	1.72335	8.66e-08
2530	1.72310	8.83e-08
2540	1.72285	9.02e-08
2550	1.72260	9.20e-08
2560	1.72236	9.39e-08
2570	1.72210	9.59e-08
2580	1.72185	9.79e-08
2590	1.72160	9.99e-08
2600	1.72134	1.02e-07
2610	1.72109	1.04e-07
2620	1.72083	1.06e-07
2630	1.72057	1.08e-07
2640	1.72032	1.11e-07
2650	1.72005	1.13e-07
2660	1.71979	1.15e-07
2670	1.71953	1.18e-07
2680	1.71927	1.20e-07
2690	1.71900	1.23e-07
2700	1.71873	1.25e-07
2710	1.71847	1.28e-07
2720	1.71820	1.30e-07
2730	1.71793	1.33e-07
2740	1.71766	1.36e-07
2750	1.71738	1.39e-07
2760	1.71711	1.41e-07
2770	1.71684	1.44e-07
2780	1.71656	1.47e-07
2790	1.71628	1.50e-07
2800	1.71600	1.54e-07
2810	1.71572	1.57e-07
2820	1.71544	1.60e-07
2830	1.71516	1.63e-07
2840	1.71487	1.67e-07
2850	1.71459	1.70e-07
2860	1.71430	1.74e-07
2870	1.71401	1.77e-07
2880	1.71372	1.81e-07
2890	1.71343	1.85e-07
2900	1.71314	1.88e-07
2910	1.71285	1.92e-07
2920	1.71255	1.96e-07
2930	1.71226	2.00e-07
2940	1.71196	2.04e-07
2950	1.71166	2.09e-07
2960	1.71136	2.13e-07
2970	1.71106	2.17e-07
2980	1.71076	2.22e-07
2990	1.71046	2.26e-07
3000	1.71015	2.31e-07
3010	1.70984	2.36e-07
3020	1.70954	2.41e-07
3030	1.70923	2.46e-07
3040	1.70892	2.51e-07
3050	1.70860	2.56e-07
3060	1.70829	2.61e-07
3070	1.70797	2.67e-07
3080	1.70766	2.72e-07
3090	1.70734	2.78e-07
