nm, %R
372.000000, 46.470450
370.000000, 36.925804
368.000000, 28.256374
366.000000, 20.723446
364.000000, 14.175968
362.000000, 9.523173
360.000000, 7.237687
358.000000, 5.554118
356.000000, 5.024819
354.000000, 6.576327
352.000000, 9.192210
350.000000, 12.185558
